"Step","partition_20_batch16_embd384_lay12_heads8_Huber - loss","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd384_lay12_heads8_MSE - loss","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads8_Huber - loss","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay12_heads8_MSE - loss","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay10_heads8_Huber - loss","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay10_heads8_MSE - loss","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads12_MSE - loss","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MAX"
"11","0.01143217459321022","0.01143217459321022","0.01143217459321022","0.026023946702480316","0.026023946702480316","0.026023946702480316","0.009938908740878105","0.009938908740878105","0.009938908740878105","0.021957416087388992","0.021957416087388992","0.021957416087388992","0.013428561389446259","0.013428561389446259","0.013428561389446259","0.032596420496702194","0.032596420496702194","0.032596420496702194","0.021826624870300293","0.021826624870300293","0.021826624870300293"
"12","0.009808705188333988","0.009808705188333988","0.009808705188333988","0.01851416379213333","0.01851416379213333","0.01851416379213333","0.011386574245989323","0.011386574245989323","0.011386574245989323","0.026895293965935707","0.026895293965935707","0.026895293965935707","0.012277270667254925","0.012277270667254925","0.012277270667254925","0.03265576809644699","0.03265576809644699","0.03265576809644699","0.0272978525608778","0.0272978525608778","0.0272978525608778"
"13","0.009785871021449566","0.009785871021449566","0.009785871021449566","0.021335190162062645","0.021335190162062645","0.021335190162062645","0.010982218198478222","0.010982218198478222","0.010982218198478222","0.025214094668626785","0.025214094668626785","0.025214094668626785","0.013014579191803932","0.013014579191803932","0.013014579191803932","0.030019406229257584","0.030019406229257584","0.030019406229257584","0.02462630346417427","0.02462630346417427","0.02462630346417427"
"14","0.010639006271958351","0.010639006271958351","0.010639006271958351","0.027211621403694153","0.027211621403694153","0.027211621403694153","0.011197095736861229","0.011197095736861229","0.011197095736861229","0.023943573236465454","0.023943573236465454","0.023943573236465454","0.011435621418058872","0.011435621418058872","0.011435621418058872","0.02473047561943531","0.02473047561943531","0.02473047561943531","0.022512279450893402","0.022512279450893402","0.022512279450893402"
"15","0.013481461443006992","0.013481461443006992","0.013481461443006992","0.03252573311328888","0.03252573311328888","0.03252573311328888","0.010096320882439613","0.010096320882439613","0.010096320882439613","0.02381795085966587","0.02381795085966587","0.02381795085966587","0.010976467281579971","0.010976467281579971","0.010976467281579971","0.023936623707413673","0.023936623707413673","0.023936623707413673","0.023204978555440903","0.023204978555440903","0.023204978555440903"
"16","0.012682955712080002","0.012682955712080002","0.012682955712080002","0.025398271158337593","0.025398271158337593","0.025398271158337593","0.012298217043280602","0.012298217043280602","0.012298217043280602","0.025122331455349922","0.025122331455349922","0.025122331455349922","0.009350679814815521","0.009350679814815521","0.009350679814815521","0.02152818627655506","0.02152818627655506","0.02152818627655506","0.025366714224219322","0.025366714224219322","0.025366714224219322"
"17","0.010502506978809834","0.010502506978809834","0.010502506978809834","0.020210683345794678","0.020210683345794678","0.020210683345794678","0.009297276847064495","0.009297276847064495","0.009297276847064495","0.021197041496634483","0.021197041496634483","0.021197041496634483","0.010697249323129654","0.010697249323129654","0.010697249323129654","0.02507459931075573","0.02507459931075573","0.02507459931075573","0.0211293064057827","0.0211293064057827","0.0211293064057827"
"18","0.010357912629842758","0.010357912629842758","0.010357912629842758","0.023138651624321938","0.023138651624321938","0.023138651624321938","0.010044618509709835","0.010044618509709835","0.010044618509709835","0.02193238027393818","0.02193238027393818","0.02193238027393818","0.010556038469076157","0.010556038469076157","0.010556038469076157","0.023585790768265724","0.023585790768265724","0.023585790768265724","0.022435128688812256","0.022435128688812256","0.022435128688812256"
"19","0.010957176797091961","0.010957176797091961","0.010957176797091961","0.025509370490908623","0.025509370490908623","0.025509370490908623","0.01077379658818245","0.01077379658818245","0.01077379658818245","0.025276027619838715","0.025276027619838715","0.025276027619838715","0.0077404119074344635","0.0077404119074344635","0.0077404119074344635","0.01741868071258068","0.01741868071258068","0.01741868071258068","0.025591738522052765","0.025591738522052765","0.025591738522052765"
"20","0.011454182676970959","0.011454182676970959","0.011454182676970959","0.02399103343486786","0.02399103343486786","0.02399103343486786","0.009489626623690128","0.009489626623690128","0.009489626623690128","0.022028464823961258","0.022028464823961258","0.022028464823961258","0.010421042330563068","0.010421042330563068","0.010421042330563068","0.022741157561540604","0.022741157561540604","0.022741157561540604","0.022228922694921494","0.022228922694921494","0.022228922694921494"
"21","0.009683521464467049","0.009683521464467049","0.009683521464467049","0.025501370429992676","0.025501370429992676","0.025501370429992676","0.00975051149725914","0.00975051149725914","0.00975051149725914","0.02432830259203911","0.02432830259203911","0.02432830259203911","0.010298043489456177","0.010298043489456177","0.010298043489456177","0.022177699953317642","0.022177699953317642","0.022177699953317642","0.024444114416837692","0.024444114416837692","0.024444114416837692"
"22","0.011920547112822533","0.011920547112822533","0.011920547112822533","0.03956836462020874","0.03956836462020874","0.03956836462020874","0.012355010956525803","0.012355010956525803","0.012355010956525803","0.028528651222586632","0.028528651222586632","0.028528651222586632","0.010718107223510742","0.010718107223510742","0.010718107223510742","0.024280531331896782","0.024280531331896782","0.024280531331896782","0.03029012866318226","0.03029012866318226","0.03029012866318226"
"23","0.009293590672314167","0.009293590672314167","0.009293590672314167","0.02459714375436306","0.02459714375436306","0.02459714375436306","0.009026980958878994","0.009026980958878994","0.009026980958878994","0.01973959431052208","0.01973959431052208","0.01973959431052208","0.010172083973884583","0.010172083973884583","0.010172083973884583","0.02236664853990078","0.02236664853990078","0.02236664853990078","0.01972772553563118","0.01972772553563118","0.01972772553563118"
"24","0.00994124449789524","0.00994124449789524","0.00994124449789524","0.024034887552261353","0.024034887552261353","0.024034887552261353","0.009280141443014145","0.009280141443014145","0.009280141443014145","0.020859703421592712","0.020859703421592712","0.020859703421592712","0.009147008880972862","0.009147008880972862","0.009147008880972862","0.02200189419090748","0.02200189419090748","0.02200189419090748","0.02036624401807785","0.02036624401807785","0.02036624401807785"
"25","0.00844038836658001","0.00844038836658001","0.00844038836658001","0.02021665871143341","0.02021665871143341","0.02021665871143341","0.009495052509009838","0.009495052509009838","0.009495052509009838","0.020593812689185143","0.020593812689185143","0.020593812689185143","0.010546499863266945","0.010546499863266945","0.010546499863266945","0.02319447137415409","0.02319447137415409","0.02319447137415409","0.019669197499752045","0.019669197499752045","0.019669197499752045"
"26","0.009055032394826412","0.009055032394826412","0.009055032394826412","0.019002599641680717","0.019002599641680717","0.019002599641680717","0.0094300527125597","0.0094300527125597","0.0094300527125597","0.02099076472222805","0.02099076472222805","0.02099076472222805","0.00948883593082428","0.00948883593082428","0.00948883593082428","0.020991945639252663","0.020991945639252663","0.020991945639252663","0.02171310968697071","0.02171310968697071","0.02171310968697071"
"27","0.008952307514846325","0.008952307514846325","0.008952307514846325","0.023177308961749077","0.023177308961749077","0.023177308961749077","0.008657646365463734","0.008657646365463734","0.008657646365463734","0.01757846400141716","0.01757846400141716","0.01757846400141716","0.009486720897257328","0.009486720897257328","0.009486720897257328","0.02189728617668152","0.02189728617668152","0.02189728617668152","0.018792668357491493","0.018792668357491493","0.018792668357491493"
"28","0.011152110062539577","0.011152110062539577","0.011152110062539577","0.02639767713844776","0.02639767713844776","0.02639767713844776","0.008642297238111496","0.008642297238111496","0.008642297238111496","0.02036675438284874","0.02036675438284874","0.02036675438284874","0.008086172863841057","0.008086172863841057","0.008086172863841057","0.019749315455555916","0.019749315455555916","0.019749315455555916","0.021809283643960953","0.021809283643960953","0.021809283643960953"
"29","0.009482430294156075","0.009482430294156075","0.009482430294156075","0.02419339306652546","0.02419339306652546","0.02419339306652546","0.007305382285267115","0.007305382285267115","0.007305382285267115","0.01595640368759632","0.01595640368759632","0.01595640368759632","0.008585335686802864","0.008585335686802864","0.008585335686802864","0.01891947351396084","0.01891947351396084","0.01891947351396084","0.016399918124079704","0.016399918124079704","0.016399918124079704"
"30","0.008669924922287464","0.008669924922287464","0.008669924922287464","0.019592944532632828","0.019592944532632828","0.019592944532632828","0.009489367716014385","0.009489367716014385","0.009489367716014385","0.02114238403737545","0.02114238403737545","0.02114238403737545","0.00847680028527975","0.00847680028527975","0.00847680028527975","0.01927150972187519","0.01927150972187519","0.01927150972187519","0.02130730450153351","0.02130730450153351","0.02130730450153351"
"31","0.0076302471570670605","0.0076302471570670605","0.0076302471570670605","0.01763240247964859","0.01763240247964859","0.01763240247964859","0.010326853953301907","0.010326853953301907","0.010326853953301907","0.024938542395830154","0.024938542395830154","0.024938542395830154","0.007835015654563904","0.007835015654563904","0.007835015654563904","0.016920465975999832","0.016920465975999832","0.016920465975999832","0.023306990042328835","0.023306990042328835","0.023306990042328835"
"32","0.009555763565003872","0.009555763565003872","0.009555763565003872","0.020191339775919914","0.020191339775919914","0.020191339775919914","0.008225158788263798","0.008225158788263798","0.008225158788263798","0.018786979839205742","0.018786979839205742","0.018786979839205742","0.00894747581332922","0.00894747581332922","0.00894747581332922","0.0202639177441597","0.0202639177441597","0.0202639177441597","0.01996542140841484","0.01996542140841484","0.01996542140841484"
"33","0.011332300491631031","0.011332300491631031","0.011332300491631031","0.021643755957484245","0.021643755957484245","0.021643755957484245","0.008195397444069386","0.008195397444069386","0.008195397444069386","0.017201321199536324","0.017201321199536324","0.017201321199536324","0.005991819780319929","0.005991819780319929","0.005991819780319929","0.01266540214419365","0.01266540214419365","0.01266540214419365","0.016963884234428406","0.016963884234428406","0.016963884234428406"
