iter_num,loss_val
0,nan
100,0.3865
100,0.3865
200,0.2401
300,0.1974
400,0.1805
500,0.1759
600,0.1173
700,0.0936
800,0.0858
900,0.0962
1000,0.076
1100,0.0711
1200,0.0822
1300,0.0833
1400,0.0772
1500,0.0315
1600,0.0272
1700,0.0767
1800,0.0701
1800,0.0701
1900,0.0323
2000,0.0289
2100,0.0627
2200,0.0493
2300,0.0443
2400,0.0253
2500,0.023
2500,0.023
2500,0.0768
2600,0.0602
2700,0.0228
2800,0.0213
2900,0.0249
3000,0.0251
3100,0.0806
3200,0.0645
3300,0.018
3400,0.0206
3500,0.0458
3600,0.0165
3700,0.0183
3800,0.0529
3900,0.0371
4000,0.038
4100,0.0189
4200,0.0162
4300,0.0408
4400,0.0313
4500,0.0225
4600,0.0211
4700,0.0198
4800,0.0561
4900,0.0379
5000,0.032
5100,0.0318
5200,0.013
5300,0.0127
5400,0.0283
5500,0.0231
5600,0.0149
5700,0.0143
5800,0.0099
5900,0.012
6000,0.0257
6100,0.0251
6200,0.0225
6200,0.0225
6300,0.026
6400,0.0166
6500,0.0119
6600,0.0105
6700,0.0083
6800,0.0286
6900,0.0194
7000,0.0226
7100,0.0208
7200,0.0209
7300,0.023
7400,0.018
7500,0.0192
7600,0.0241
7700,0.0227
7800,0.0177
8000,0.0223
8100,0.0148
8300,0.0282
8400,0.0194
8500,0.0118
8600,0.0081
8600,0.0081
8700,0.0167
8800,0.0172
8900,0.0165
9000,0.0109
9100,0.0092
9200,0.0097
9300,0.0075
9400,0.0197
9500,0.0201
9600,0.0197
9700,0.0218
9800,0.0151
9900,0.0084
10000,0.0133
10100,0.0099
10200,0.0439
10300,0.0205
10400,0.0181
10500,0.019
10600,0.0118
10700,0.0072
10800,0.0199
10900,0.013
11000,0.0167
11100,0.0181
11200,0.0066
11300,0.0089
11400,0.016
11500,0.0128
11600,0.0161
11700,0.0119
11800,0.007
11900,0.0197
12000,0.0138
12100,0.0179
12200,0.0157
12300,0.0136
12400,0.014
12500,0.0118
12600,0.0099
12700,0.0093
12800,0.0098
12900,0.0069
13000,0.0084
13100,0.0092
13300,0.0128
13300,0.0128
13400,0.0161
13500,0.01
13600,0.0098
13700,0.011
13800,0.0146
13900,0.0149
14000,0.0102
14100,0.0124
14200,0.0127
14300,0.0108
14400,0.0176
14500,0.0121
14600,0.0091
14700,0.0144
14800,0.0115
14900,0.014
15000,0.0146
15200,0.0113
15300,0.0098
15400,0.0134
15500,0.0061
15600,0.0047
15700,0.0151
15800,0.0119
15900,0.0096
16000,0.0172
16100,0.0128
16300,0.0103
16400,0.0108
16500,0.01
16600,0.0151
16700,0.0127
16800,0.0125
16900,0.0104
17000,0.0087
17100,0.0154
17200,0.0124
17300,0.0116
17400,0.0079
17500,0.0118
17600,0.0104
17700,0.009
17800,0.0051
18000,0.0049
18100,0.0131
18200,0.0077
18300,0.0092
18400,0.0091
18500,0.0099
18600,0.0074
18700,0.0062
18800,0.0048
18900,0.0047
19000,0.0044
19100,0.0035
19200,0.004
19300,0.0152
19400,0.0129
19500,0.0109
19600,0.015
19600,0.015
19700,0.0072
19800,0.0061
19800,0.0061
19900,0.007
20000,0.0078
20100,0.012
20200,0.0168
20300,0.0124
20400,0.0121
20500,0.0072
20600,0.0053
20700,0.004
20800,0.0114
20900,0.0079
21000,0.0099
21100,0.0064
21200,0.0092
21300,0.0079
21400,0.009
21500,0.0111
21600,0.0054
21700,0.0042
21800,0.0043
21900,0.014
22000,0.0122
22100,0.0037
22200,0.0036
22200,0.0036
22300,0.0034
22400,0.0034
22500,0.0127
22600,0.0088
22700,0.0061
22800,0.0055
22900,0.0062
23000,0.0099
23100,0.0081
23200,0.0128
23300,0.0096
23400,0.0104
23500,0.0099
23600,0.0073
23700,0.0086
23800,0.0131
23900,0.0099
24000,0.0068
24100,0.0031
24200,0.0111
24300,0.0093
24400,0.0059
24500,0.0055
24600,0.0084
24700,0.0108
24800,0.0065
24900,0.0067
25000,0.0036
25100,0.0035
25200,0.0072
25300,0.008
25400,0.007
25500,0.0081
25600,0.0094
25800,0.0037
25900,0.0039
26000,0.0034
26100,0.0096
26200,0.0081
26300,0.0079
26400,0.0047
26500,0.0055
26600,0.0048
26700,0.0045
26800,0.0063
26900,0.0079
27000,0.0065
27100,0.009
27200,0.0077
27300,0.0089
27400,0.0059
27500,0.0047
27600,0.0058
27700,0.0055
27800,0.0031
27900,0.0026
28000,0.0028
28100,0.0028
28200,0.009
28300,0.0058
28400,0.0054
28500,0.0022
28600,0.0026
28700,0.0069
28800,0.0076
28900,0.0029
29000,0.0027
29100,0.0091
29200,0.0049
29300,0.0046
29400,0.0025
29500,0.0024
29500,0.0024
29600,0.0099
29700,0.0074
29800,0.0035
29900,0.0021
30000,0.0065
30100,0.0043
30200,0.0079
30300,0.0051
30400,0.0055
30500,0.0057
30600,0.0048
30700,0.0022
30800,0.0025
30900,0.0024
31000,0.0022
31100,0.0057
31200,0.0073
31300,0.0023
31400,0.012
31500,0.0047
31600,0.0028
31700,0.0022
31800,0.0063
31900,0.0046
32000,0.0058
32100,0.0048
32200,0.0061
32300,0.0042
32400,0.0096
32500,0.0047
32600,0.0049
32700,0.0023
32800,0.0026
32900,0.0024
33000,0.0022
33100,0.0039
33200,0.0053
33300,0.0025
33400,0.0022
33500,0.0055
33600,0.0034
33700,0.0033
33800,0.0102
33900,0.007
34000,0.0022
34100,0.003
34200,0.0084
34300,0.0076
34500,0.0052
34600,0.0068
34700,0.0079
34800,0.0068
34900,0.0046
35000,0.0028
35100,0.0025
35200,0.0076
35300,0.0039
35400,0.0021
35600,0.0063
35700,0.002
35800,0.0087
35900,0.0075
36000,0.0021
36100,0.0022
36200,0.0054
36300,0.0044
36400,0.0023
36500,0.0069
36600,0.0056
36700,0.0043
36800,0.0038
36900,0.0035
37000,0.0037
37100,0.0022
37200,0.0021
37300,0.0043
37400,0.0034
37500,0.0043
37600,0.003
37600,0.006
37700,0.0063
37800,0.0078
37900,0.0062
37900,0.0062
38000,0.0027
38100,0.002
38200,0.0019
38300,0.0022
38300,0.0022
38400,0.0058
38500,0.002
38600,0.0018
38700,0.0065
38800,0.0052
38900,0.0061
39000,0.0034
39100,0.0039
39100,0.0039
